author,year,title,journal,citation,author_term,location,pondname,humanbuilt_manipulated,ponduse,landuse,managed,surfacewaterconnectivity,hydroperiod,min_depth_m,max_depth_m,mean_depth_m,min_surfacearea_m2,max_surfacearea_m2,mean_surfacearea_m2,fishpresence,macrophytespresence,macrophytes_percentcover,ph,turbidity_secchi_m,tss_mgpl,doc_mgpl,chla_ugpl,tp_ugpl,tn_ugpl,cond_uspcm
zelnik; igor; gregoric; neza; tratnik; ana,2018,diversity of macroinvertebrates positively correlates with diversity of macrophytes in karst ponds,ecological engineering,Zelnik Igor; Gregoric Neza; Tratnik Ana. 2018. Diversity of macroinvertebrates positively correlates with diversity of macrophytes in karst ponds. Ecological Engineering; 117: 96-103.,karst ponds,se alps (slovenia),kravec,y,water storage,multiple,NA,adjacent,perennial,NA,NA,1,NA,NA,220,NA,NA,NA,7.8,0.3,52,NA,NA,90,4520,NA
zelnik; igor; gregoric; neza; tratnik; ana,2018,diversity of macroinvertebrates positively correlates with diversity of macrophytes in karst ponds,ecological engineering,Zelnik Igor; Gregoric Neza; Tratnik Ana. 2018. Diversity of macroinvertebrates positively correlates with diversity of macrophytes in karst ponds. Ecological Engineering; 117: 96-103.,karst ponds,se alps (slovenia),ratiovec,y,water storage,multiple,NA,adjacent,perennial,NA,NA,0.27,NA,NA,65,NA,NA,NA,6.8,0.27,0,NA,NA,190,2660,NA
zelnik; igor; gregoric; neza; tratnik; ana,2018,diversity of macroinvertebrates positively correlates with diversity of macrophytes in karst ponds,ecological engineering,Zelnik Igor; Gregoric Neza; Tratnik Ana. 2018. Diversity of macroinvertebrates positively correlates with diversity of macrophytes in karst ponds. Ecological Engineering; 117: 96-103.,karst ponds,se alps (slovenia),ratiovec,y,water storage,multiple,NA,adjacent,perennial,NA,NA,0.56,NA,NA,100,NA,NA,NA,7.4,0.3,78,NA,NA,130,800,NA
zelnik; igor; gregoric; neza; tratnik; ana,2018,diversity of macroinvertebrates positively correlates with diversity of macrophytes in karst ponds,ecological engineering,Zelnik Igor; Gregoric Neza; Tratnik Ana. 2018. Diversity of macroinvertebrates positively correlates with diversity of macrophytes in karst ponds. Ecological Engineering; 117: 96-103.,karst ponds,se alps (slovenia),velika planina,y,water storage,multiple,NA,adjacent,perennial,NA,NA,0.46,NA,NA,301,NA,NA,NA,7.2,0.3,34,NA,NA,70,880,NA
zelnik; igor; gregoric; neza; tratnik; ana,2018,diversity of macroinvertebrates positively correlates with diversity of macrophytes in karst ponds,ecological engineering,Zelnik Igor; Gregoric Neza; Tratnik Ana. 2018. Diversity of macroinvertebrates positively correlates with diversity of macrophytes in karst ponds. Ecological Engineering; 117: 96-103.,karst ponds,se alps (slovenia),velika planina,y,water storage,multiple,NA,adjacent,perennial,NA,NA,0.43,NA,NA,895,NA,NA,NA,6.4,0.17,56,NA,NA,220,710,NA
zelnik; igor; gregoric; neza; tratnik; ana,2018,diversity of macroinvertebrates positively correlates with diversity of macrophytes in karst ponds,ecological engineering,Zelnik Igor; Gregoric Neza; Tratnik Ana. 2018. Diversity of macroinvertebrates positively correlates with diversity of macrophytes in karst ponds. Ecological Engineering; 117: 96-103.,karst ponds,se alps (slovenia),velika planina,y,water storage,multiple,NA,adjacent,perennial,NA,NA,0.6,NA,NA,200,NA,NA,NA,6.1,0.2,48,NA,NA,200,990,NA
boda; pal; mora; arnold; varbiro; gabor; csabai; zoltan,2018,livin' on the edge: the importance of adjacent intermittent habitats in maintaining macroinvertebrate diversity of permanent freshwater marsh systems,inland waters,Boda Pal; Arnold Mora; Gabor Varbíro; Zoltan Csabai. 2018. Livin on the edge: the importance of adjacent intermittent habitats in maintaining macroinvertebrate diversity of permanent freshwater marsh systems. Inland Waters; 8(3): 312-321.,marsh,hungary,biharugra marsh,n,natural,NA,n,isolated,perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
attermeyer; katrin; grossart; hans-peter; flury; sabine; premke; katrin,2017,bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?,aquatic sciences,Attermeyer Katrin; Hans-Peter Grossart; Sabine Flury; Katrin Premke. 2017. Bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?. Aquatic sciences; 79: 675-687.,kettle hole,germany,NA,n,natural,agricultural,NA,adjacent,perennial,NA,NA,NA,NA,NA,3630,NA,NA,NA,NA,NA,NA,22.8,NA,NA,NA,NA
attermeyer; katrin; grossart; hans-peter; flury; sabine; premke; katrin,2017,bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?,aquatic sciences,Attermeyer Katrin; Hans-Peter Grossart; Sabine Flury; Katrin Premke. 2017. Bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?. Aquatic sciences; 79: 675-687.,kettle hole,germany,NA,n,natural,agricultural,NA,adjacent,perennial,NA,NA,NA,NA,NA,2650,NA,NA,NA,NA,NA,NA,24.6,NA,NA,NA,NA
attermeyer; katrin; grossart; hans-peter; flury; sabine; premke; katrin,2017,bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?,aquatic sciences,Attermeyer Katrin; Hans-Peter Grossart; Sabine Flury; Katrin Premke. 2017. Bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?. Aquatic sciences; 79: 675-687.,kettle hole,germany,NA,n,natural,agricultural,NA,adjacent,perennial,NA,NA,NA,NA,NA,850,NA,NA,NA,NA,NA,NA,24.5,NA,NA,NA,NA
attermeyer; katrin; grossart; hans-peter; flury; sabine; premke; katrin,2017,bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?,aquatic sciences,Attermeyer Katrin; Hans-Peter Grossart; Sabine Flury; Katrin Premke. 2017. Bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?. Aquatic sciences; 79: 675-687.,kettle hole,germany,NA,n,natural,agricultural,NA,adjacent,perennial,NA,NA,NA,NA,NA,4290,NA,NA,NA,NA,NA,NA,19.6,NA,NA,NA,NA
attermeyer; katrin; grossart; hans-peter; flury; sabine; premke; katrin,2017,bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?,aquatic sciences,Attermeyer Katrin; Hans-Peter Grossart; Sabine Flury; Katrin Premke. 2017. Bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?. Aquatic sciences; 79: 675-687.,kettle hole,germany,NA,n,natural,agricultural,NA,adjacent,perennial,NA,NA,NA,NA,NA,1050,NA,NA,NA,NA,NA,NA,23.4,NA,NA,NA,NA
attermeyer; katrin; grossart; hans-peter; flury; sabine; premke; katrin,2017,bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?,aquatic sciences,Attermeyer Katrin; Hans-Peter Grossart; Sabine Flury; Katrin Premke. 2017. Bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?. Aquatic sciences; 79: 675-687.,kettle hole,germany,NA,n,natural,agricultural,NA,adjacent,perennial,NA,NA,NA,NA,NA,1290,NA,NA,NA,NA,NA,NA,13.3,NA,NA,NA,NA
attermeyer; katrin; grossart; hans-peter; flury; sabine; premke; katrin,2017,bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?,aquatic sciences,Attermeyer Katrin; Hans-Peter Grossart; Sabine Flury; Katrin Premke. 2017. Bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?. Aquatic sciences; 79: 675-687.,kettle hole,germany,NA,n,natural,agricultural,NA,adjacent,perennial,NA,NA,NA,NA,NA,570,NA,NA,NA,NA,NA,NA,14.1,NA,NA,NA,NA
attermeyer; katrin; grossart; hans-peter; flury; sabine; premke; katrin,2017,bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?,aquatic sciences,Attermeyer Katrin; Hans-Peter Grossart; Sabine Flury; Katrin Premke. 2017. Bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?. Aquatic sciences; 79: 675-687.,kettle hole,germany,NA,n,natural,agricultural,NA,adjacent,perennial,NA,NA,NA,NA,NA,4000,NA,NA,NA,NA,NA,NA,25.9,NA,NA,NA,NA
attermeyer; katrin; grossart; hans-peter; flury; sabine; premke; katrin,2017,bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?,aquatic sciences,Attermeyer Katrin; Hans-Peter Grossart; Sabine Flury; Katrin Premke. 2017. Bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?. Aquatic sciences; 79: 675-687.,kettle hole,germany,NA,n,natural,agricultural,NA,adjacent,perennial,NA,NA,NA,NA,NA,1790,NA,NA,NA,NA,NA,NA,31.7,NA,NA,NA,NA
attermeyer; katrin; grossart; hans-peter; flury; sabine; premke; katrin,2017,bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?,aquatic sciences,Attermeyer Katrin; Hans-Peter Grossart; Sabine Flury; Katrin Premke. 2017. Bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?. Aquatic sciences; 79: 675-687.,kettle hole,germany,NA,n,natural,agricultural,NA,adjacent,intermittent,NA,NA,NA,NA,NA,1470,NA,NA,NA,NA,NA,NA,14.4,NA,NA,NA,NA
spackova,2009,seasonal succession of epipelic algae: a case study on a mesotrophic pond in a temperate climate,fottea,Spackova Jana; Hasler Petr; Stepankova Jana; Poulickova Aloisie. 2009. Seasonal succession of epipelic algae: A case study on a mesotrophic pond in a temperate climate. Fottea; 9(1): 121-133.,pond,NA,bezedník pond,n,natural,forested,y,NA,NA,NA,2,NA,NA,NA,15811,NA,y,100,NA,NA,NA,NA,NA,NA,NA,NA
brysiewicz,2018,content of selected macro- and microelements in surface water of in-field ponds and in groundwater from adjacent agricultural areas,elementology,Brysiewicz Adam; Wesolowski Piotr; Bonislawska Malgorzata. 2018. Content of selected macro- and microelements in surface water of in-field ponds and in groundwater from adjacent agricultural areas. Journal of Elementology; 24(1): 207-219.,in-field pond,NA,stare czarnawo (1),n,farm,agricultural,n,NA,NA,NA,NA,1,NA,NA,8000,NA,y,NA,NA,NA,NA,NA,NA,NA,NA,NA
brysiewicz,2018,content of selected macro- and microelements in surface water of in-field ponds and in groundwater from adjacent agricultural areas,elementology,Brysiewicz Adam; Wesolowski Piotr; Bonislawska Malgorzata. 2018. Content of selected macro- and microelements in surface water of in-field ponds and in groundwater from adjacent agricultural areas. Journal of Elementology; 24(1): 207-219.,in-field pond,NA,zelislawiec(2),n,farm,agricultural,n,NA,NA,NA,NA,0.8,NA,NA,9000,NA,y,NA,NA,NA,NA,NA,NA,NA,NA,NA
olmo,2012,re-establishment of zooplankton communities in temporary ponds after autumn flooding: does restoration age matter?,limnologica,Olmo Carla; Xavier Armengol; Raquel Ortells. 2012. Re-establishment of zooplankton communities in temporary ponds after autumn flooding: Does restoration age matter?. Limnologica; 42(4): 310-319.,pond,NA,r1,y,natural,other,y,NA,intermittent,NA,0.31,NA,NA,NA,6600,n,y,10,8.7,NA,NA,NA,1.1,NA,1100,2100
olmo,2012,re-establishment of zooplankton communities in temporary ponds after autumn flooding: does restoration age matter?,limnologica,Olmo Carla; Xavier Armengol; Raquel Ortells. 2012. Re-establishment of zooplankton communities in temporary ponds after autumn flooding: Does restoration age matter?. Limnologica; 42(4): 310-319.,pond,NA,r2,y,natural,other,y,NA,intermittent,NA,0.22,NA,NA,NA,4700,n,y,10,8.9,NA,NA,NA,1.5,NA,1200,1600
olmo,2012,re-establishment of zooplankton communities in temporary ponds after autumn flooding: does restoration age matter?,limnologica,Olmo Carla; Xavier Armengol; Raquel Ortells. 2012. Re-establishment of zooplankton communities in temporary ponds after autumn flooding: Does restoration age matter?. Limnologica; 42(4): 310-319.,pond,NA,r3,y,natural,other,y,NA,intermittent,NA,0.25,NA,NA,NA,3600,n,y,5,8.6,NA,NA,NA,0.7,NA,1100,2800
olmo,2012,re-establishment of zooplankton communities in temporary ponds after autumn flooding: does restoration age matter?,limnologica,Olmo Carla; Xavier Armengol; Raquel Ortells. 2012. Re-establishment of zooplankton communities in temporary ponds after autumn flooding: Does restoration age matter?. Limnologica; 42(4): 310-319.,pond,NA,i1,y,natural,other,y,NA,intermittent,NA,0.31,NA,NA,NA,4900,n,y,70,8.3,NA,NA,NA,1.3,NA,1100,1400
olmo,2012,re-establishment of zooplankton communities in temporary ponds after autumn flooding: does restoration age matter?,limnologica,Olmo Carla; Xavier Armengol; Raquel Ortells. 2012. Re-establishment of zooplankton communities in temporary ponds after autumn flooding: Does restoration age matter?. Limnologica; 42(4): 310-319.,pond,NA,i2,y,natural,other,y,NA,intermittent,NA,0.29,NA,NA,NA,2900,n,y,65,8.7,NA,NA,NA,1.1,NA,1100,1500
olmo,2012,re-establishment of zooplankton communities in temporary ponds after autumn flooding: does restoration age matter?,limnologica,Olmo Carla; Xavier Armengol; Raquel Ortells. 2012. Re-establishment of zooplankton communities in temporary ponds after autumn flooding: Does restoration age matter?. Limnologica; 42(4): 310-319.,pond,NA,i3,y,natural,other,y,NA,intermittent,NA,0.18,NA,NA,NA,4300,n,y,50,8.5,NA,NA,NA,0.8,NA,1100,1200
olmo,2012,re-establishment of zooplankton communities in temporary ponds after autumn flooding: does restoration age matter?,limnologica,Olmo Carla; Xavier Armengol; Raquel Ortells. 2012. Re-establishment of zooplankton communities in temporary ponds after autumn flooding: Does restoration age matter?. Limnologica; 42(4): 310-319.,pond,NA,o1,y,natural,other,y,NA,intermittent,NA,0.38,NA,NA,NA,8100,n,y,75,7.8,NA,NA,NA,2.6,NA,1200,500
olmo,2012,re-establishment of zooplankton communities in temporary ponds after autumn flooding: does restoration age matter?,limnologica,Olmo Carla; Xavier Armengol; Raquel Ortells. 2012. Re-establishment of zooplankton communities in temporary ponds after autumn flooding: Does restoration age matter?. Limnologica; 42(4): 310-319.,pond,NA,o2,y,natural,other,y,NA,intermittent,NA,0.3,NA,NA,NA,12300,n,y,85,8.1,NA,NA,NA,2.1,NA,1300,900
olmo,2012,re-establishment of zooplankton communities in temporary ponds after autumn flooding: does restoration age matter?,limnologica,Olmo Carla; Xavier Armengol; Raquel Ortells. 2012. Re-establishment of zooplankton communities in temporary ponds after autumn flooding: Does restoration age matter?. Limnologica; 42(4): 310-319.,pond,NA,o3,y,natural,other,y,NA,intermittent,NA,0.5,NA,NA,NA,35900,n,y,80,7.6,NA,NA,NA,0.7,NA,1500,1200
fontanarrosa,2013,aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,neotropical entomology,Fontanarrosa Maria; Collantes M; Bachmann A. 2013. Aquatic Insect Assemblages of Man-Made Permanent Ponds Buenos Aires City Argentina. Neotropical entomology; 42: 22-31.,pond,NA,p1,y,natural,urban,y,isolated,perennial,NA,1,NA,NA,NA,4700,y,y,NA,8.33,1,NA,NA,NA,60,NA,3820
fontanarrosa,2013,aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,neotropical entomology,Fontanarrosa Maria; Collantes M; Bachmann A. 2013. Aquatic Insect Assemblages of Man-Made Permanent Ponds Buenos Aires City Argentina. Neotropical entomology; 42: 22-31.,pond,NA,p2,y,natural,urban,y,isolated,perennial,NA,1,NA,NA,NA,9500,y,y,NA,8.53,1,NA,NA,NA,120,NA,2520
fontanarrosa,2013,aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,neotropical entomology,Fontanarrosa Maria; Collantes M; Bachmann A. 2013. Aquatic Insect Assemblages of Man-Made Permanent Ponds Buenos Aires City Argentina. Neotropical entomology; 42: 22-31.,pond,NA,p3,y,natural,urban,y,isolated,perennial,NA,5,NA,NA,NA,99700,y,y,NA,7.4,1.6,NA,NA,NA,40,NA,229
fontanarrosa,2013,aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,neotropical entomology,Fontanarrosa Maria; Collantes M; Bachmann A. 2013. Aquatic Insect Assemblages of Man-Made Permanent Ponds Buenos Aires City Argentina. Neotropical entomology; 42: 22-31.,pond,NA,p4,y,natural,urban,y,isolated,perennial,NA,1,NA,NA,NA,49400,y,y,NA,9.86,0.2,NA,NA,NA,190,NA,1610
mimouni; ea; pinel-alloul; b; beisner; be; legendre; p,2018,summer assessment of zooplankton biodiversity and environmental control in urban waterbodies on the island of montreal,ecosphere,Mimouni E.A.; Pinel-Alloul B.; Beisner B.E.; Legendre P. 2018. Summer assessment of zooplankton biodiversity and environmental control in urban waterbodies on the Island of Montreal. Ecosphere; 9(7).,pond,northern poland,1,y,multiple,multiple,NA,inline,perennial,NA,NA,NA,NA,NA,590,NA,NA,NA,7.4,NA,NA,NA,NA,332,2270,153.8
mimouni; ea; pinel-alloul; b; beisner; be; legendre; p,2018,summer assessment of zooplankton biodiversity and environmental control in urban waterbodies on the island of montreal,ecosphere,Mimouni E.A.; Pinel-Alloul B.; Beisner B.E.; Legendre P. 2018. Summer assessment of zooplankton biodiversity and environmental control in urban waterbodies on the Island of Montreal. Ecosphere; 9(7).,pond,northern poland,2,y,farm,agricultural,NA,isolated,perennial,NA,NA,NA,NA,NA,3380,NA,NA,NA,7,NA,NA,NA,NA,114,1900,23.4
mimouni; ea; pinel-alloul; b; beisner; be; legendre; p,2018,summer assessment of zooplankton biodiversity and environmental control in urban waterbodies on the island of montreal,ecosphere,Mimouni E.A.; Pinel-Alloul B.; Beisner B.E.; Legendre P. 2018. Summer assessment of zooplankton biodiversity and environmental control in urban waterbodies on the Island of Montreal. Ecosphere; 9(7).,pond,northern poland,3,y,multiple,multiple,NA,inline,perennial,NA,NA,NA,NA,NA,360,NA,NA,NA,6.3,NA,NA,NA,NA,728,2730,74.9
mimouni; ea; pinel-alloul; b; beisner; be; legendre; p,2018,summer assessment of zooplankton biodiversity and environmental control in urban waterbodies on the island of montreal,ecosphere,Mimouni E.A.; Pinel-Alloul B.; Beisner B.E.; Legendre P. 2018. Summer assessment of zooplankton biodiversity and environmental control in urban waterbodies on the Island of Montreal. Ecosphere; 9(7).,pond,northern poland,4,y,farm,agricultural,NA,isolated,perennial,NA,NA,NA,NA,NA,3420,NA,NA,NA,7.1,NA,NA,NA,NA,151,1990,38.1
mimouni; ea; pinel-alloul; b; beisner; be; legendre; p,2018,summer assessment of zooplankton biodiversity and environmental control in urban waterbodies on the island of montreal,ecosphere,Mimouni E.A.; Pinel-Alloul B.; Beisner B.E.; Legendre P. 2018. Summer assessment of zooplankton biodiversity and environmental control in urban waterbodies on the Island of Montreal. Ecosphere; 9(7).,pond,northern poland,5,y,natural,forested,NA,inline,perennial,NA,NA,NA,NA,NA,4320,NA,NA,NA,7,NA,NA,NA,NA,141,1800,36.6
mimouni; ea; pinel-alloul; b; beisner; be; legendre; p,2018,summer assessment of zooplankton biodiversity and environmental control in urban waterbodies on the island of montreal,ecosphere,Mimouni E.A.; Pinel-Alloul B.; Beisner B.E.; Legendre P. 2018. Summer assessment of zooplankton biodiversity and environmental control in urban waterbodies on the Island of Montreal. Ecosphere; 9(7).,pond,northern poland,6,y,natural,forested,NA,inline,perennial,NA,NA,0.7,NA,NA,5160,NA,NA,NA,6.5,NA,NA,NA,NA,119,1780,35.7
mimouni; ea; pinel-alloul; b; beisner; be; legendre; p,2018,summer assessment of zooplankton biodiversity and environmental control in urban waterbodies on the island of montreal,ecosphere,Mimouni E.A.; Pinel-Alloul B.; Beisner B.E.; Legendre P. 2018. Summer assessment of zooplankton biodiversity and environmental control in urban waterbodies on the Island of Montreal. Ecosphere; 9(7).,pond,northern poland,7,y,farm,agricultural,NA,inline,perennial,NA,NA,NA,NA,NA,9000,NA,NA,NA,7,NA,NA,NA,NA,154,2090,28.4
mimouni; ea; pinel-alloul; b; beisner; be; legendre; p,2018,summer assessment of zooplankton biodiversity and environmental control in urban waterbodies on the island of montreal,ecosphere,Mimouni E.A.; Pinel-Alloul B.; Beisner B.E.; Legendre P. 2018. Summer assessment of zooplankton biodiversity and environmental control in urban waterbodies on the Island of Montreal. Ecosphere; 9(7).,pond,northern poland,8,y,farm,agricultural,NA,isolated,perennial,NA,NA,NA,NA,NA,4140,NA,NA,NA,7.1,NA,NA,NA,NA,151,1970,68
mimouni; ea; pinel-alloul; b; beisner; be; legendre; p,2018,summer assessment of zooplankton biodiversity and environmental control in urban waterbodies on the island of montreal,ecosphere,Mimouni E.A.; Pinel-Alloul B.; Beisner B.E.; Legendre P. 2018. Summer assessment of zooplankton biodiversity and environmental control in urban waterbodies on the Island of Montreal. Ecosphere; 9(7).,pond,northern poland,9,y,multiple,multiple,NA,inline,perennial,NA,NA,0.9,NA,NA,2150,NA,NA,NA,6.9,NA,NA,NA,NA,171,2350,65.6
mimouni; ea; pinel-alloul; b; beisner; be; legendre; p,2018,summer assessment of zooplankton biodiversity and environmental control in urban waterbodies on the island of montreal,ecosphere,Mimouni E.A.; Pinel-Alloul B.; Beisner B.E.; Legendre P. 2018. Summer assessment of zooplankton biodiversity and environmental control in urban waterbodies on the Island of Montreal. Ecosphere; 9(7).,pond,northern poland,10,y,farm,agricultural,NA,inline,perennial,NA,NA,NA,NA,NA,6720,NA,NA,NA,6.6,NA,NA,NA,NA,190,2180,50.2
golus,2017,water circulation in the moraine ponds of northern poland,hydrobiologia,Golus W.; Bajkiewicz-Grabowska E. 2017. Water circulation in the moraine ponds of northern Poland. Hydrobiologia; 793: 55-65.,pond,northern poland,no.1,NA,NA,multiple,NA,inline,perennial,NA,0.81,NA,NA,NA,361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
golus,2017,water circulation in the moraine ponds of northern poland,hydrobiologia,Golus W.; Bajkiewicz-Grabowska E. 2017. Water circulation in the moraine ponds of northern Poland. Hydrobiologia; 793: 55-65.,pond,northern poland,no.2,NA,NA,multiple,NA,inline,perennial,NA,0.82,NA,NA,NA,4152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
golus,2017,water circulation in the moraine ponds of northern poland,hydrobiologia,Golus W.; Bajkiewicz-Grabowska E. 2017. Water circulation in the moraine ponds of northern Poland. Hydrobiologia; 793: 55-65.,pond,northern poland,no.3,NA,NA,multiple,NA,inline,perennial,NA,1.32,NA,NA,NA,649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
golus,2017,water circulation in the moraine ponds of northern poland,hydrobiologia,Golus W.; Bajkiewicz-Grabowska E. 2017. Water circulation in the moraine ponds of northern Poland. Hydrobiologia; 793: 55-65.,pond,northern poland,no.4,NA,NA,multiple,NA,inline,perennial,NA,1.95,NA,NA,NA,1007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
golus,2017,water circulation in the moraine ponds of northern poland,hydrobiologia,Golus W.; Bajkiewicz-Grabowska E. 2017. Water circulation in the moraine ponds of northern Poland. Hydrobiologia; 793: 55-65.,pond,northern poland,no.5,NA,NA,multiple,NA,inline,perennial,NA,1.65,NA,NA,NA,1269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
golus,2017,water circulation in the moraine ponds of northern poland,hydrobiologia,Golus W.; Bajkiewicz-Grabowska E. 2017. Water circulation in the moraine ponds of northern Poland. Hydrobiologia; 793: 55-65.,pond,northern poland,no.6,NA,NA,multiple,NA,inline,perennial,NA,1.21,NA,NA,NA,428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
golus,2017,water circulation in the moraine ponds of northern poland,hydrobiologia,Golus W.; Bajkiewicz-Grabowska E. 2017. Water circulation in the moraine ponds of northern Poland. Hydrobiologia; 793: 55-65.,pond,northern poland,no.7,NA,NA,multiple,NA,inline,perennial,NA,0.96,NA,NA,NA,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
golus,2017,water circulation in the moraine ponds of northern poland,hydrobiologia,Golus W.; Bajkiewicz-Grabowska E. 2017. Water circulation in the moraine ponds of northern Poland. Hydrobiologia; 793: 55-65.,pond,northern poland,no.8,NA,NA,multiple,NA,inline,perennial,NA,1.78,NA,NA,NA,613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
golus,2017,water circulation in the moraine ponds of northern poland,hydrobiologia,Golus W.; Bajkiewicz-Grabowska E. 2017. Water circulation in the moraine ponds of northern Poland. Hydrobiologia; 793: 55-65.,pond,northern poland,no.9,NA,NA,multiple,NA,inline,perennial,NA,0.99,NA,NA,NA,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
golus,2017,water circulation in the moraine ponds of northern poland,hydrobiologia,Golus W.; Bajkiewicz-Grabowska E. 2017. Water circulation in the moraine ponds of northern Poland. Hydrobiologia; 793: 55-65.,pond,northern poland,no.10,NA,NA,multiple,NA,inline,perennial,NA,1.82,NA,NA,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
golus,2017,water circulation in the moraine ponds of northern poland,hydrobiologia,Golus W.; Bajkiewicz-Grabowska E. 2017. Water circulation in the moraine ponds of northern Poland. Hydrobiologia; 793: 55-65.,pond,northern poland,no.11,NA,NA,multiple,NA,inline,perennial,NA,0.66,NA,NA,NA,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
golus,2017,water circulation in the moraine ponds of northern poland,hydrobiologia,Golus W.; Bajkiewicz-Grabowska E. 2017. Water circulation in the moraine ponds of northern Poland. Hydrobiologia; 793: 55-65.,pond,northern poland,no.12,NA,NA,multiple,NA,inline,perennial,NA,0.67,NA,NA,NA,3724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
golus,2017,water circulation in the moraine ponds of northern poland,hydrobiologia,Golus W.; Bajkiewicz-Grabowska E. 2017. Water circulation in the moraine ponds of northern Poland. Hydrobiologia; 793: 55-65.,pond,northern poland,no.13,NA,NA,multiple,NA,inline,perennial,NA,0.73,NA,NA,NA,6177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
golus,2017,water circulation in the moraine ponds of northern poland,hydrobiologia,Golus W.; Bajkiewicz-Grabowska E. 2017. Water circulation in the moraine ponds of northern Poland. Hydrobiologia; 793: 55-65.,pond,northern poland,no.14,NA,NA,multiple,NA,inline,perennial,NA,0.68,NA,NA,NA,2559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
shieh & chi,2010,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,hydrobiologia,Shieh Sen-her; Chi Yao-sheng. 2010. Factors influencing macroinvertebrate assemblages in artificial subtropical ponds of Taiwan. Hydrobiologia; 649(1): 317-330.,pond,west central tailand,1,y,NA,multiple,NA,adjacent,perennial,NA,NA,0.263,NA,NA,30,NA,y,23.5,8.09,NA,NA,NA,NA,NA,NA,384
shieh & chi,2010,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,hydrobiologia,Shieh Sen-her; Chi Yao-sheng. 2010. Factors influencing macroinvertebrate assemblages in artificial subtropical ponds of Taiwan. Hydrobiologia; 649(1): 317-330.,pond,west central tailand,2,y,NA,multiple,NA,adjacent,perennial,NA,NA,0.428,NA,NA,26,NA,y,80.3,7.25,NA,NA,NA,NA,NA,NA,783
shieh & chi,2010,factors influencing macroinvertebrate assemblages in artificial subtropical ponds of taiwan,hydrobiologia,Shieh Sen-her; Chi Yao-sheng. 2010. Factors influencing macroinvertebrate assemblages in artificial subtropical ponds of Taiwan. Hydrobiologia; 649(1): 317-330.,pond,west central tailand,3,y,NA,multiple,NA,adjacent,perennial,NA,NA,0.245,NA,NA,6,NA,y,20.1,6.78,NA,NA,NA,NA,NA,NA,306
